I, [2019-08-21T08:45:41.771241 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:45:44.880098 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:45:47.957120 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:45:51.066787 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:45:54.142676 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:45:57.250595 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:00.348553 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:03.457509 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:06.556176 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:09.655231 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:12.763941 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:15.872856 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:18.981737 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:22.079605 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:25.188561 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:28.264371 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:31.363376 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:34.472203 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:37.581061 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:40.689885 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:43.787807 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:46.896729 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:49.995556 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:53.105433 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:56.182348 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:46:59.291178 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:02.400046 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:05.476976 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:08.574827 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:11.684724 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:14.762562 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:17.871511 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:20.980405 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:24.057192 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:27.155104 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:30.264023 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:33.372884 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:36.483755 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:39.592495 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:42.690455 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:45.800347 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:48.898152 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
