E, [2019-08-21T07:21:28.959304 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `perform_action'
E, [2019-08-21T07:21:28.959364 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:379:in `create_action'
E, [2019-08-21T07:21:28.959420 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2019-08-21T07:21:28.959477 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `each'
E, [2019-08-21T07:21:28.959533 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `transition_to'
E, [2019-08-21T07:21:28.959590 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:124:in `create'
E, [2019-08-21T07:21:28.959657 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `public_send'
E, [2019-08-21T07:21:28.959714 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2019-08-21T07:21:28.959771 #6744] ERROR -- default-centos-6: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2019-08-21T07:21:28.959839 #6744] ERROR -- default-centos-6: ----End Backtrace-----
